Title,Licensee,Released
Super Putty,US Gold,1993-11-01
Super RBI Baseball,Time Warner,1995-06-01
Super Return of the Jedi,Majesco,1994-10-01
Super R-Type,Irem,1991-09-01
Super Slam Dunk,Virgin Interactive,1993-07-01
Super Slap Shot,Virgin Interactive,1993-08-01
Super Smash T.V.,Acclaim,1992-02-01
Super Soccer,Nintendo,1992-05-01
Super Soccer Champ,Taito Software,1992-06-01
Super Solitaire,Extreme,1994-01-01
Super Star Wars,Nintendo,1992-11-01
Super Street Fighter II: The New Challengers,Capcom,1994-06-01
Super Strike Eagle,Microprose,1993-03-01
Super Tennis,Nintendo,1991-11-01
Super Troll Islands,American Softworks,1994-02-01
Super Turrican,Seika,1993-05-01
Super Turrican 2,Ocean,1995-11-01
Super Valis IV,Atlus Software,1993-02-01
Super Widget,Atlus Software,1993-09-01
Suzuka 8 Hours,Namco,1994-05-01
"Syndicate, The",Ocean,1995-12-01
T2: The Arcade Game,Majesco,1994-02-01
Taz-Mania,Majesco,1993-05-01
Tecmo Secret of the Stars,Tecmo,1995-07-01
Tecmo Super Baseball,Tecmo,1994-09-01
Tecmo Super Bowl,Tecmo,1993-11-01
Tecmo Super Bowl II: Special Edition,Tecmo,1995-01-01
Tecmo Super Bowl III: The Final Edition,Tecmo,1995-10-01
Tecmo Super NBA Basketball,Tecmo,1993-03-01
Teenage Mutant Ninja Turtles IV: Turtles in Time,Konami,1992-08-01
Teenage Mutant Ninja Turtles: Tournament Fighters,Konami,1993-12-01
Terminator 2: Judgment Day,LJN,1993-11-01
"Terminator, The",Mindscape,1993-04-01
Tetris & Dr. Mario,Nintendo,1994-12-01
Tetris 2,Nintendo,1994-08-01
Tetris Attack,Nintendo,1996-08-01
Thomas the Tank Engine & Friends,THQ,1993-09-01
Three Ninjas Kick Back,Sony Imagesoft,1994-11-01
Thunder Spirits,Seika,1992-06-01
"Tick, The",Fox Interactive,1994-12-01
Time Cop,JVC,1995-04-01
Time Slip,Vic Tokai,1993-11-01
Time Trax,THQ,1994-04-01
Timon & Pumbaa,THQ,1997-11-01
Tin Star,Nintendo,1994-11-01
Tiny Toon Adventures: Buster Busts Loose!,Konami,1993-02-01
Tiny Toon Adventures: Wacky Sports Challenge,Konami,1994-12-01
TKO Super Championship Boxing,Sofel,1992-10-01
TNN Bass Tournament of Champions,American Softworks,1994-11-01
Tom and Jerry,Hi-Tech,1993-04-01
Tommy Moe's Winter Extreme: Skiing & Snowboarding,Electro Brain,1994-06-01
Tony Meola's Sidekick Soccer,Electro Brain,1993-11-01
Top Gear,Majesco,1992-04-01
Top Gear 3000,Kemco,1995-02-01
Top Gear II,Kemco,1993-09-01
Total Carnage,Malibu Games,1993-11-01
Toy Story,Nintendo,1995-12-01
Toys: Let the Toy Wars begin!,Absolute,1993-04-01
Troddlers,Seika,1993-10-01
Troy Aikman NFL Football,Tradewest,1994-08-01
True Golf Classics: Pebble Beach Golf Links,T & E Soft,1992-04-01
True Golf Classics: Waialae Country Club,T & E Soft,1991-11-01
True Golf: Wicked 18,Bullet Proof Software,1993-10-01
True Lies,LJN,1995-02-01
Tuff E Nuff,Jaleco,1993-09-01
Turn and Burn: No-Fly Zone,Absolute,1994-02-01
"Twisted Tales of Spike McFang, The",Bullet Proof Software,1994-06-01
U.N. Squadron,Capcom,1991-09-01
Ultima VII: The Black Gate,FCI,1994-11-01
Ultima: Runes of Virtue II,FCI,1994-11-01
Ultima: The False Prophet,FCI,1994-04-01
Ultimate Fighter,Culture Brain,1994-06-01
Ultimate Mortal Kombat 3,Midway,1996-10-01
Ultraman: Towards the Future,Bandai,1991-10-01
Uncharted Waters,Koei,1993-01-01
Uncharted Waters: New Horizons,Koei,1994-10-01
Uniracers,Nintendo,1994-12-01
"Untouchables, The",Ocean,1994-08-01
Urban Strike,Black Pearl Software,1995-11-01
Utopia: The Creation of a Nation,Jaleco,1993-09-01
Vegas Stakes,Nintendo,1993-05-01
Vortex,Electro Brain,1994-09-01
Wanderers From Ys III,American Sammy,1992-01-01
War 2410,Advanced Productions,1995-12-01
War 3010: The Revolution,Advanced Productions,1996-10-01
Wario's Woods,Nintendo,1994-12-01
Warlock,LJN,1995-03-01
Warp Speed,Accolade,1992-12-01
Wayne Gretzky and the NHLPA All-Stars,Time Warner,1995-12-01
Wayne's World,THQ,1993-04-01
WCW: Super Brawl Wrestling,FCI,1994-11-01
WeaponLord,Namco,1995-09-01
We're Back!: A Dinosaur's Story,Hi-Tech,1993-11-01
Wheel of Fortune Deluxe!,Majesco,1994-04-01
Wheel of Fortune: Featuring Vanna White,Gametek,1992-09-01
Where in the World is Carmen Sandiego?,Hi-Tech,1993-06-01
Where in Time is Carmen Sandiego?,Hi-Tech,1993-05-01
Whizz,Titus,1996-11-01
Wild C.A.T.S,Playmates,1995-11-01
Wild Guns,Natsume,1995-07-01
Wild Snake,Spectrum Holobyte,1994-09-01
Williams Arcade's Greatest Hits,Midway,1996-10-01
Wing Commander,Mindscape,1992-11-01
Wing Commander: The Secret Missions,Mindscape,1993-09-01
Wings 2: Aces High,Namco,1992-10-01
Winter Olympic Games: Lillehammer '94,US Gold,1994-02-01
"Wizard of Oz, The",Seta,1993-10-01
Wizardry V: Heart of the Maelstrom,Capcom,1994-04-01
Wolf Child,Virgin Interactive,1993-06-01
Wolfenstein 3-D,Imagineer,1994-03-01
Wolverine: Adamantium Rage,LJN,1994-11-01
Wordtris,Spectrum Holobyte,1992-11-01
World Cup USA '94,US Gold,1994-06-01
World Heroes,Sunsoft,1993-09-01
World Heroes 2,Takara,1994-09-01
World League Soccer,Mindscape,1992-04-01
World Soccer '94: Road to Glory,Atlus Software,1993-12-01
WWF Raw,LJN,1994-11-01
WWF Royal Rumble,LJN,1993-06-01
WWF Super Wrestlemania,LJN,1992-03-01
WWF Wrestlemania: The Arcade,Majesco,1995-11-01
Xardion,Asmik,1992-04-01
X-Kaliber 2097,Activision,1994-02-01
X-Men: Mutant Apocalypse,Majesco,1994-11-01
X-Zone,Kemco,1992-11-01
Yoshi's Cookie,Bullet Proof Software,1993-06-01
Yoshi's Island: Super Mario World 2,Nintendo,1995-10-01
Yoshi's Safari,Nintendo,1993-09-01
Young Merlin,Virgin Interactive,1994-03-01
Zero: The Kamikaze Squirrel,Sunsoft,1994-11-01
Zombies Ate My Neighbors,Konami,1993-09-01
"Zool: Ninja of the ""Nth"" Dimension",Gametek,1994-01-01
Zoop,Majesco,2000-01-01
