Title,Licensee,Released
Dinocity,Irem,1992-09-01
Dirt Trax FX,Acclaim,1995-11-01
Disney's Aladdin,Majesco,1993-11-01
Disney's Beauty and the Beast,Hudson Soft,1994-07-01
Disney's Goof Troop,Majesco,1993-07-01
Disney's The Lion King,Majesco,1994-10-01
Donkey Kong Country,Nintendo,1994-11-01
Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,1995-12-01
Donkey Kong Country 3: Dixie Kong's Double Trouble,Nintendo,1996-11-01
Doom,Midway,1995-09-01
Doomsday Warrior,Renovation,1993-03-01
Double Dragon V: The Shadow Falls,Tradewest,1994-08-01
Dragon View,Kemco,1994-11-01
Dragon: The Bruce Lee Story,Acclaim,1995-07-01
Dragon's Lair,Data East,1993-02-01
Drakkhen,Seika,1991-09-01
Dream TV,Triffix,1994-04-01
"Duel: Test Drive II , The",Accolade,1992-12-01
Dungeon Master,JVC,1993-06-01
E.V.O.: Search for Eden,Enix,1993-07-01
EarthBound,Nintendo,1995-06-01
Earthworm Jim,Playmates,1994-10-01
Earthworm Jim 2,Playmates,1995-11-01
Eek! The Cat,Ocean,1994-08-01
Elite Soccer,Gametek,1994-08-01
Emmitt Smith Football,JVC,1995-11-01
Equinox,Sony Imagesoft,1994-03-01
ESPN Baseball Tonight,Sony Imagesoft,1994-05-01
ESPN National Hockey Night,Sony Imagesoft,1994-12-01
ESPN Speedworld,Sony Imagesoft,1994-11-01
ESPN Sunday Night Football,Sony Imagesoft,1994-11-01
Extra Innings,Sony Imagesoft,1992-03-01
Eye of the Beholder,Capcom,1994-04-01
F1 Pole Position,UBI Soft,1993-12-01
F1 ROC II: Race of Champions,Seta,1994-07-01
F1 ROC: Race of Champions,Seta,1992-09-01
Faceball 2000,Bullet Proof Software,1992-09-01
Family Dog,Malibu Games,1993-06-01
Family Feud,Majesco,1993-10-01
Fatal Fury,Takara,1993-04-01
Fatal Fury 2,Takara,1994-04-01
Fatal Fury Special,Playmates,1995-04-01
FIFA International Soccer,EA Sports,1994-05-01
FIFA Soccer '96,EA Sports,1995-11-01
Fighter's History,Data East,1994-08-01
Final Fantasy II,Square Soft,1991-11-01
Final Fantasy III,Square Soft,1994-10-01
Final Fantasy: Mystic Quest,Square Soft,1992-10-01
Final Fight,Capcom,1991-09-01
Final Fight 2,Capcom,1993-08-01
Final Fight 3,Capcom,1996-01-01
Final Fight Guy,Capcom,1994-06-01
Firepower 2000,Sunsoft,1992-11-01
Firestriker,DTMC,1994-10-01
First Samurai,Kemco,1993-07-01
Flashback: The Quest for Identity,US Gold,1994-02-01
"Flintstones: The Movie, The",Ocean,1995-02-01
"Flintstones: The Treasure of Sierra Madrock, The",Taito Software,1994-03-01
Football Fury,American Sammy,1993-10-01
Foreman For Real,Acclaim,1995-09-01
Frank Thomas' Big Hurt Baseball,Acclaim,1995-11-01
Frantic Flea,Gametek,1996-04-01
Full Throttle Racing,Cybersoft,1995-01-01
Fun 'N' Games,Tradewest,1994-08-01
F-Zero,Nintendo,1991-08-01
Gemfire,Koei,1992-12-01
Genghis Khan II: Clan of the Grey Wolf,Koei,1993-12-01
George Foreman's KO Boxing,Acclaim,1992-09-01
Ghoul Patrol,JVC,1994-11-01
Goal!,Jaleco,1992-12-01
Gods,Mindscape,1992-12-01
GP-1,Atlus Software,1993-09-01
GP-1: Part II,Atlus Software,1994-12-01
Gradius III,Konami,1991-08-01
"Great Circus Mystery: Starring Mickey and Minnie, The",Capcom,1994-10-01
"Great Waldo Search, The",THQ,1993-06-01
GunForce,Irem,1992-11-01
Hagane,Hudson Soft,1995-06-01
HammerLock Wrestling,Jaleco,1994-10-01
Hardball III,Accolade,1994-06-01
Harley's Humongous Adventure,Hi-Tech,1993-02-01
Harvest Moon,Natsume,1997-06-01
Head-On Soccer,US Gold,1995-09-01
Hit the Ice,Taito Software,1993-02-01
Hole in One Golf,Hal America,1991-09-01
Home Alone,THQ,1991-12-01
Home Alone 2: Lost in New York,THQ,1992-10-01
Home Improvement,Absolute,1994-11-01
Hook,Sony Imagesoft,1992-10-01
"Hunt for Red October, The",Hi-Tech,1993-01-01
Hurricanes,US Gold,1994-12-01
Hyper V-Ball,Video System,1994-06-01
HyperZone,Hal America,1991-09-01
"Ignition Factor, The",Jaleco,1995-01-01
Illusion of Gaia,Nintendo,1994-09-01
Imperium,Vic Tokai,1992-11-01
Incantation,Titus,1996-12-01
"Incredible Crash Dummies, The",LJN,1993-10-01
"Incredible Hulk, The",US Gold,1994-08-01
Indiana Jones' Greatest Adventures,JVC,1994-10-01
Inindo: Way of the Ninja,Koei,1993-03-01
Inspector Gadget,Hudson Soft,1993-12-01
International Superstar Soccer,Konami,1995-06-01
International Superstar Soccer Deluxe,Konami,1995-11-01
International Tennis Tour,Taito Software,1993-11-01
Irem Skins Game,Irem,1992-10-01
"Itchy & Scratchy Game, The",Acclaim,1995-03-01
Izzy's Quest for the Olympic Rings,US Gold,1995-11-01
Jack Nicklaus Golf,Tradewest,1992-05-01
James Bond Jr.,THQ,1992-10-01
Jammit!,GTE,1994-11-01
Jeopardy! Deluxe Edition,Majesco,1994-06-01
Jeopardy! Featuring Alex Trebek,Gametek,1992-12-01
Jeopardy! Sports Edition,Gametek,1994-05-01
"Jetsons: The Invasion of the Planet Pirates, The",Taito Software,1994-06-01
Jim Power: The Lost Dimension in 3-D,Electro Brain,1993-12-01
Jimmy Connors Pro Tennis Tour,UBI Soft,1992-12-01
Jimmy Houston's Bass Tournament USA,American Sammy,1995-11-01
Joe & Mac 2: Lost in the Tropics,Data East,1994-04-01
Joe & Mac: Caveman Ninjas,Data East,1992-01-01
John Madden Football '93,EA Sports,1992-11-01
John Madden's Football,EA Sports,1991-11-01
Judge Dredd,Acclaim,1995-06-01
"Jungle Book, The",Majesco,1994-08-01
Jungle Strike,Electronic Arts,1995-06-01
Jurassic Park,Majesco,1993-11-01
Jurassic Park 2: The Chaos Continues,Ocean,1994-11-01
Justice League Task Force,Acclaim,1995-06-01
Kablooey,Kemco,1992-08-01
Kawasaki Caribbean Challenge,Gametek,1993-06-01
Kawasaki Superbike Challenge,Time Warner,1995-12-01
Ken Griffey Jr. Presents: Major League Baseball,Nintendo,1994-03-01
Ken Griffey Jr.'s Winning Run,Nintendo,1996-06-01
Kendo Rage,Seta,1993-10-01
Kid Klown in Crazy Chase,Kemco,1994-09-01
Killer Instinct,Nintendo,1995-08-01
King Arthur & the Knights of Justice,Enix,1995-07-01
King Arthur's World,Jaleco,1993-03-01
King of Dragons,Capcom,1994-04-01
King of the Monsters,Takara,1992-10-01
King of the Monsters II,Takara,1994-06-01
Kirby Super Star,Nintendo,1996-09-01
Kirby's Avalanche,Nintendo,1995-02-01
Kirby's Dream Course,Nintendo,1995-02-01
Kirby's Dream Land 3,Nintendo,1997-11-01
Knights of the Round,Capcom,1994-04-01
Krusty's Super Fun House,Acclaim,1992-06-01
Kyle Petty's No Fear Racing,Midway,1995-04-01
Lagoon,Seika,1991-12-01
Lamborghini American Challenge,Titus,1993-11-01
Last Action Hero,Sony Imagesoft,1993-10-01
