Title,Licensee,Released
Mario Party 3,Nintendo,2001-05-01
Mario Tennis 64,Nintendo,2000-08-01
Mia Hamm Soccer 64,South Peak Interactive,2000-11-01
Mega Man 64,Capcom,2001-02-01
Midway's Greatest Arcade Hits Volume 1,Midway,2000-11-01
Mickey's Speedway USA,Nintendo,2000-11-01
Micro Machines 64 Turbo,Midway,1999-03-01
Mike Piazza's StrikeZone,GT Interactive,1998-06-01
Milo's Astro Lanes,Crave Entertainment,1998-11-01
Mischief Makers,Nintendo,1997-09-01
Mission Impossible,Ocean,1998-07-01
MLBPA Bottom of the 9th,Konami,1999-04-01
Monaco Grand Prix,Ubi Soft,1999-09-01
Monopoly,Hasbro Interactive,1999-12-01
Monster Truck Madness,Take 2 Interactive,1999-07-01
Mortal Kombat IV,Midway,1998-06-01
Mortal Kombat Mythologies: The Adventures of Sub-Zero,Midway,1997-12-01
Mortal Kombat Trilogy,Midway,1996-11-01
Ms Pac Man: Maze Madness,Namco,2000-11-01
Multi Racing Championship (MRC),Ocean,1997-08-01
Mystical Ninja Starring Goemon,Konami,1998-04-01
Nagano Winter Olympics '98,Konami,1998-01-01
Namco Museum 64,Namco,1999-11-01
NASCAR 2000,EA Sports,1999-09-01
Nascar '99,EA Sports,1998-09-01
NBA Hang Time,Midway,1997-01-01
NBA In The Zone 2000,Konami,2000-02-01
NBA In The Zone 98,Konami,1998-02-01
NBA In the Zone 99,Konami,1999-04-01
NBA Jam 2000,Acclaim,1999-11-01
NBA Jam '99,Acclaim,1998-12-01
NBA Live 2000,EA Sports,1999-11-01
NBA Live 99,EA Sports,1998-11-01
NBA Showtime,Midway,1999-11-01
NFL Blitz,Midway,1998-09-01
NFL Blitz 2000,Midway,1999-08-01
NFL Blitz 2001,Midway,2000-09-01
NFL Quarterback Club 2001,Acclain,2000-08-01
NFL Quarterback Club 2000,Acclaim,1999-09-01
NFL Quarterback Club 98,Acclaim,1997-10-01
NFL Quarterback Club '99,Acclaim,1998-11-01
NHL '99,EA Sports,1998-10-01
NHL Blades of Steel 99,Konami,1999-03-01
NHL Breakaway 98,Acclaim,1998-02-01
NHL Breakaway '99,Acclaim,1998-12-01
"NHLPA and NHL Present Wayne Gretzky's 3-D Hockey '98, The",Midway,1997-12-01
Nightmare Creatures,Activision,1998-11-01
Nuclear Strike,THQ,1999-12-01
Offroad Challenge,Midway,1998-06-01
Ogre Battle 64: Person of Lordly Caliber,Atlus Software,2000-10-01
Olympic Hockey Nagano ' 98,Midway,1998-02-01
Paperboy 64,Mindscape,1999-10-01
Paper Mario,Nintendo,2001-02-01
Penny Racers,THQ,1999-02-01
Perfect Dark,Nintendo,2000-05-01
PilotWings 64,Nintendo,1996-09-01
