Title,Licensee,Released
Ultima: Quest of the Avatar,FCI,1990-12-01
Ultima: Warriors of Destiny,FCI,1993-01-01
Ultimate Air Combat,Activision,1992-04-01
Ultimate Basketball,American Sammy,1990-09-01
Uncharted Waters,Koei,1991-11-01
Uninvited,Seika,1991-06-01
"Untouchables, The",Ocean,1991-01-01
Urban Champion,Nintendo,1986-06-01
Vegas Dream,Hal America,1990-03-01
Vice: Project Doom,American Sammy,1991-11-01
Videomation,THQ,1991-06-01
Volleyball,Nintendo,1987-03-01
Wacky Races,Atlus Software,1992-05-01
Wall Street Kid,Sofel,1990-06-01
Wario's Woods,Nintendo,1994-12-01
Wayne Gretzky Hockey,THQ,1991-01-01
Wayne's World,THQ,1993-11-01
Werewolf: The Last Warrior,Data East,1990-11-01
Wheel of Fortune,Gametek,1988-09-01
Wheel of Fortune: Family Edition,Gametek,1990-03-01
Wheel of Fortune: Featuring Vanna White,Gametek,1992-01-01
Wheel of Fortune: Jr.,Gametek,1989-10-01
Where in Time is Carmen Sandiego?,Konami,1991-10-01
Where's Waldo?,THQ,1991-09-01
Who Framed Roger Rabbit?,LJN,1989-09-01
Whomp 'Em,Jaleco,1991-03-01
Widget,Atlus Software,1992-11-01
Wild Gunman,Nintendo,1985-10-01
Willow,Capcom,1989-12-01
"Win, Lose or Draw",Hi-Tech,1990-03-01
Winter Games,Acclaim,1987-09-01
Wizardry II: Knight of Diamonds,Ascii,1992-04-01
Wizardry: Proving Grounds of the Mad Overlord,Ascii,1990-07-01
Wizards & Warriors,Acclaim,1987-12-01
Wizards & Warriors III,Acclaim,1992-03-01
Wolverine,LJN,1991-10-01
World Champ,Romstar,1991-04-01
World Championship Wrestling,FCI,1990-04-01
World Class Track Meet,Nintendo,1988-08-01
World Games,Milton Bradley,1989-03-01
Wrath of the Black Manta,Taito Software,1990-04-01
Wrecking Crew,Nintendo,1985-10-01
WrestleMania,Acclaim,1989-01-01
Wurm: Journey to the Center of the Earth,Asmik,1991-11-01
WWF King of the Ring,LJN,1993-11-01
WWF Wrestlemania Challenge,LJN,1990-11-01
WWF Wrestlemania: Steel Cage Challenge,Acclaim,1992-09-01
Xenophobe,Sunsoft,1988-12-01
Xevious,Bandai,1988-09-01
Xexyz,Hudson Soft,1990-04-01
Yo! Noid,Capcom,1990-11-01
Yoshi,Nintendo,1992-06-01
Yoshi's Cookie,Nintendo,1993-04-01
"Young Indiana Jones Chronicles, The",Jaleco,1992-12-01
Zanac,FCI,1987-10-01
Zelda II: The Adventure of Link,Nintendo,1988-12-01
Zen: Intergalactic Ninja,Konami,1993-03-01
Zoda's Revenge: StarTropics II,Nintendo,1994-03-01
Zombie Nation,Meldac,1991-09-01
