Title,Licensee,Released
Commando,Capcom,1986-11-01
Conan: The Mysteries of Time,Mindscape,1991-02-01
Conflict,Vic Tokai,1990-03-01
Conquest of the Crystal Palace,Asmik,1990-11-01
Contra,Konami,1988-02-01
Contra Force,Konami,1992-09-01
Cool World,Ocean,1993-06-01
Cowboy Kid,Romstar,1992-01-01
Crash 'n the Boys: Street Challenge,American Technos,1992-10-01
Crystalis,SNK,1990-07-01
Cybernoid: The Fighting Machine,Acclaim,1989-12-01
Dance Aerobics,Nintendo,1989-03-01
Danny Sullivan's Indy Heat,Tradewest,1992-08-01
Darkman,Ocean,1991-10-01
Darkwing Duck,Capcom,1992-06-01
Dash Galaxy in the Alien Asylum,Data East,1990-02-01
Day Dreamin' Davey,Hal America,1992-06-01
Days of Thunder,Mindscape,1990-10-01
Deadly Towers,Broderbund,1987-09-01
Defender II,Hal America,1988-07-01
Defender of the Crown,Ultra Soft,1989-07-01
Defenders of Dynatron City,JVC,1992-07-01
Deja Vu,Seika,1990-12-01
Demon Sword,Taito Software,1990-01-01
Desert Commander,Seika,1989-06-01
Destination Earth Star,Acclaim,1990-02-01
Destiny of an Emperor,Capcom,1990-09-01
Dick Tracy,Bandai,1990-08-01
Die Hard,Activision,1992-01-01
Dig Dug II,Bandai,1989-12-01
Digger T. Rock: Legend of the Lost City,Milton Bradley,1990-12-01
Dirty Harry: The War Against Drugs,Mindscape,1990-12-01
Donkey Kong,Nintendo,1986-06-01
Donkey Kong 3,Nintendo,1986-06-01
Donkey Kong Classics,Nintendo,1988-10-01
Donkey Kong Jr.,Nintendo,1986-06-01
Donkey Kong Jr. Math,Nintendo,1985-10-01
Double Dare,Gametek,1990-04-01
Double Dragon,Tradewest,1988-06-01
Double Dragon II: The Revenge,Acclaim,1990-01-01
Double Dragon III: The Sacred Stone,Acclaim,1991-02-01
Double Dribble,Konami,1987-09-01
Dr. Chaos,FCI,1988-11-01
Dr. Jekyll & Mr. Hyde,Bandai,1989-04-01
Dr. Mario,Nintendo,1990-10-01
Dragon Fighter,Sofel,1992-01-01
Dragon Power,Bandai,1988-03-01
Dragon Spirit: The New Legend,Bandai,1990-06-01
Dragon Warrior,Nintendo,1989-08-01
Dragon Warrior II,Enix,1990-09-01
Dragon Warrior III,Enix,1992-03-01
Dragon Warrior IV,Enix,1992-10-01
Dragon's Lair,Sony Imagesoft,1990-12-01
Duck Hunt,Nintendo,1985-10-01
Duck Tales,Capcom,1989-09-01
Duck Tales II,Capcom,1993-06-01
Dungeon Magic,Taito Software,1990-07-01
Dusty Diamond's All-Star Softball,Broderbund,1990-07-01
Dynowarz: The Destruction of Spondylus,Bandai,1990-04-01
Elevator Action,Taito Software,1987-08-01
Eliminator Boat Duel,Electro Brain,1991-11-01
"Empire Strikes Back , The",JVC,1992-03-01
Evert & Lendl Top Player's Tennis,Asmik,1990-01-01
Excitebike,Nintendo,1985-10-01
F-117A Stealth Fighter,Microprose,1992-12-01
F-15 Strike Eagle,Microprose,1992-02-01
Family Feud,Gametek,1991-05-01
Faria: A World of Mystery & Danger,Ascii,1991-06-01
Faxanadu,Nintendo,1989-08-01
Felix the Cat,Hudson Soft,1992-10-01
Ferrari Grand Prix Challenge,Acclaim,1992-06-01
Fester's Quest,Sunsoft,1989-09-01
Final Fantasy,Nintendo,1990-05-01
Fire 'N Ice,Tecmo,1993-03-01
Fisher Price: Firehouse Rescue,Gametek,1992-03-01
Fisher Price: I Can Remember,Gametek,1990-03-01
Fisher Price: Perfect Fit,Gametek,1990-03-01
Fist of the North Star,Taxan,1989-04-01
Flight of the Intruder,Mindscape,1991-05-01
"Flintstones, The",Taito Software,1991-12-01
"Flintstones: The Surprise at Dinosaur Peak, The",Taito Software,1994-08-01
Flying Dragon: The Secret Scroll,Culture Brain,1989-08-01
Flying Warriors,Culture Brain,1991-02-01
Formula 1: Built to Win,Seta,1990-11-01
Frankenstein: The Monster Returns,Bandai,1991-07-01
Freedom Force,Sunsoft,1988-04-01
Friday the 13th,LJN,1989-02-01
Fun House,Hi-Tech,1991-01-01
G.I. Joe,Taxan,1991-01-01
G.I. Joe: The Atlantis Factor,Capcom,1992-03-01
Galaga,Bandai,1988-09-01
Galaxy 5000,Activision,1991-02-01
Gargoyle's Quest II,Capcom,1992-10-01
Gauntlet II,Mindscape,1990-09-01
Gemfire,Koei,1992-03-01
Genghis Khan,Koei,1990-01-01
George Foreman's KO Boxing,Acclaim,1992-12-01
Ghostbusters,Activision,1988-10-01
Ghostbusters II,Activision,1990-04-01
Ghosts 'N Goblins,Capcom,1986-11-01
Ghoul School,Electro Brain,1992-03-01
Goal!,Jaleco,1989-10-01
Goal! Two,Jaleco,1992-11-01
Godzilla,Toho,1989-10-01
Godzilla 2: War of the Monsters,Toho,1992-02-01
Gold Medal Challenge '92,Capcom,1992-08-01
Golf,Nintendo,1985-10-01
Golf Grand Slam,Atlus Software,1991-12-01
Golgo 13: Top Secret Episode,Vic Tokai,1988-09-01
"Goonies II , The",Konami,1987-11-01
Gotcha!,LJN,1987-11-01
Gradius,Konami,1986-12-01
"Great Waldo Search, The",THQ,1992-12-01
Greg Norman's Golf Power,Virgin Interactive,1992-07-01
Gremlins 2: The New Batch,Sunsoft,1990-10-01
"Guardian Legend, The",Broderbund,1989-04-01
Guerilla War,SNK,1989-06-01
Gumshoe,Nintendo,1986-06-01
Gun Nac,Ascii,1991-09-01
Gunsmoke,Capcom,1988-02-01
Gyromite,Nintendo,1985-10-01
Gyruss,Ultra Soft,1989-02-01
Harlem Globetrotters,Gametek,1991-03-01
Hatris,Bullet Proof Software,1992-04-01
Heavy Barrel,Data East,1990-03-01
Heavy Shreddin',Parker Brothers,1990-06-01
High Speed,Tradewest,1991-07-01
Hogan's Alley,Nintendo,1985-10-01
Hollywood Squares,Gametek,1989-09-01
Home Alone,THQ,1991-10-01
Home Alone 2: Lost in New York,THQ,1992-10-01
Hook,Sony Imagesoft,1992-04-01
Hoops,Jaleco,1989-06-01
Hudson Hawk,Sony Imagesoft,1992-02-01
"Hunt for Red October, The",Hi-Tech,1991-01-01
Hydlide,FCI,1989-06-01
Ice Climber,Nintendo,1985-10-01
Ice Hockey,Nintendo,1988-03-01
Ikari Warriors,SNK,1987-05-01
Ikari Warriors II: Victory Road,SNK,1988-04-01
Ikari Warriors III: The Rescue,SNK,1991-02-01
Image Fight,Irem,1990-07-01
"Immortal, The",Electronic Arts,1990-11-01
"Incredible Crash Dummies, The",LJN,1994-08-01
Indiana Jones and the Last Crusade,Taito Software,1991-03-01
Indiana Jones and the Last Crusade,UBI Soft,1993-12-01
Indiana Jones and the Temple of Doom,Mindscape,1988-12-01
Infiltrator,Mindscape,1990-01-01
Iron Tank,SNK,1988-07-01
IronSword: Wizards and Warriors II,Acclaim,1989-12-01
Isolated Warrior,NTVIC,1991-02-01
"Ivan ""Iron Man"" Stewart's Super Off-Road",Tradewest,1990-04-01
Jack Nicklaus' Major Championship Golf,Konami,1990-03-01
Jackal,Konami,1988-09-01
Jackie Chan's Action Kung Fu,Hudson Soft,1990-12-01
James Bond Jr.,THQ,1992-11-01
Jaws,LJN,1987-11-01
Jeopardy!,Gametek,1988-09-01
Jeopardy! 25th Silver Anniversary Edition,Gametek,1990-06-01
Jeopardy! Jr. Edition,Gametek,1989-10-01
"Jetsons: Cogswell's Caper, The",Taito Software,1992-12-01
Jimmy Connors Pro Tennis Tour,UBI Soft,1993-11-01
Joe & Mac,Data East,1992-12-01
John Elway's Quarterback,Tradewest,1989-03-01
Jordan vs. Bird: One-on-One,Milton Bradley,1989-08-01
Journey to Silius,Sunsoft,1990-09-01
Joust,Hal America,1988-10-01
"Jungle Book, The",Virgin Interactive,1994-08-01
Jurassic Park,Ocean,1993-06-01
Kabuki: Quantum Fighter,Hal America,1991-01-01
Karate Champ,Data East,1986-11-01
Karate Kid,LJN,1987-11-01
Karnov,Data East,1988-01-01
Kick Master,Taito Software,1992-01-01
Kickle Cubicle,Irem,1990-09-01
Kid Icarus,Nintendo,1987-07-01
Kid Klown in Night Mayor World,Kemco,1993-04-01
Kid Kool,Vic Tokai,1990-03-01
Kid Niki,Data East,1987-11-01
King's Knight,Square Soft,1989-09-01
Kings of the Beach,Ultra Soft,1990-01-01
King's Quest V,Konami,1992-06-01
Kirby's Adventure,Nintendo,1993-05-01
Kiwi Kraze,Taito Software,1991-03-01
KlashBall,Sofel,1991-07-01
Knight Rider,Acclaim,1989-12-01
"Krion Conquest, The",Vic Tokai,1991-01-01
Krusty's Funhouse,Acclaim,1992-09-01
Kung Fu,Nintendo,1985-10-01
Kung Fu Heroes,Culture Brain,1989-03-01
Laser Invasion,Ultra Soft,1991-06-01
Last Action Hero,Sony Imagesoft,1993-10-01
"Last Ninja, The",Jaleco,1991-02-01
"Last Starfighter, The",Mindscape,1990-06-01
Lee Trevino's Fighting Golf,SNK,1988-09-01
"Legacy of the Wizard, The",Broderbund,1989-04-01
Legend of Ghost Lion,Kemco,1992-10-01
"Legend of Kage, The",Taito Software,1987-08-01
"Legend of Zelda, The",Nintendo,1987-07-01
Legendary Wings,Capcom,1988-07-01
Legends of the Diamond,Bandai,1992-01-01
Lemmings,Sunsoft,1992-11-01
L'Empereur,Koei,1991-11-01
Lethal Weapon,Ocean,1993-04-01
Life Force,Konami,1988-08-01
Little League Baseball: Championship Series,SNK,1990-07-01
"Little Mermaid, The",Capcom,1991-07-01
Little Nemo: The Dream Master,Capcom,1990-09-01
Little Ninja Brothers,Culture Brain,1990-12-01
Little Samson,Taito Software,1992-11-01
Lode Runner,Broderbund,1987-09-01
"Lone Ranger, The",Konami,1991-08-01
LoopZ,Mindscape,1990-10-01
Low G-Man,Taxan,1990-09-01
Lunar Pool,FCI,1987-10-01
M.C. Kids,Virgin Interactive,1992-02-01
M.U.L.E.,Mindscape,1990-09-01
M.U.S.C.L.E.,Bandai,1986-10-01
Mach Rider,Nintendo,1985-10-01
Mad Max,Mindscape,1990-07-01
"Mafat Conspiracy: Golgo 13 II, The",Vic Tokai,1990-06-01
Magic Darts,Romstar,1991-09-01
Magic Johnson's Fast Break,Tradewest,1990-03-01
Magic of Scheherazade,Culture Brain,1989-12-01
Magician,Taxan,1991-02-01
Magmax,FCI,1988-10-01
Major League Baseball,LJN,1988-04-01
Maniac Mansion,Jaleco,1990-09-01
Mappyland,Taxan,1989-04-01
Marble Madness,Milton Bradley,1989-03-01
Mario Bros.,Nintendo,1986-06-01
Mario is Missing,Mindscape,1993-07-01
Mario's Time Machine,Mindscape,1994-06-01
Marvel's X-Men,LJN,1989-12-01
Mechanized Attack,SNK,1990-06-01
Mega Man,Capcom,1987-12-01
Mega Man 2,Capcom,1989-06-01
Mega Man 3,Capcom,1990-11-01
Mega Man 4,Capcom,1992-01-01
Mega Man 5,Capcom,1992-12-01
Mega Man 6,Nintendo,1994-03-01
Mendel Palace,Hudson Soft,1990-10-01
Metal Gear,Ultra Soft,1988-06-01
Metal Mech,Jaleco,1991-03-01
Metal Storm,Irem,1991-02-01
Metroid,Nintendo,1986-08-01
Michael Andretti's World Grand Prix,American Sammy,1990-06-01
Mickey Mousecapades,Capcom,1988-10-01
Mickey's Adventures in Numberland,Hi-Tech,1994-03-01
Mickey's Safari in Letterland,Hi-Tech,1993-03-01
Might & Magic: Secret of the Inner Sanctum,American Sammy,1992-08-01
Mighty Bomb Jack,Tecmo,1987-07-01
Mighty Final Fight,Capcom,1993-07-01
Millipede,Hal America,1988-10-01
Milon's Secret Castle,Hudson Soft,1988-09-01
Mission: Impossible,Ultra Soft,1990-09-01
Monopoly,Parker Brothers,1991-05-01
Monster in My Pocket,Konami,1992-01-01
Monster Party,Bandai,1989-06-01
Monster Truck Rally,INTV,1991-09-01
Motor City Patrol,Matchbox Toys,1992-01-01
Ms. Pac Man,Namco,1993-11-01
Muppet Adventure: Chaos at the Carnival,Hi-Tech,1990-11-01
"Mutant Virus, The",American Softworks,1992-04-01
Mystery Quest,Taxan,1989-04-01
NARC,Acclaim,1990-08-01
NES Open Tournament Golf,Nintendo,1991-09-01
NES Play Action Football,Nintendo,1990-09-01
NFL Football,LJN,1989-09-01
Nigel Mansell's World Championship Racing,Gametek,1993-10-01
Nightshade,Ultra Soft,1992-01-01
Ninja Crusaders,American Sammy,1990-12-01
Ninja Gaiden,Tecmo,1989-03-01
Ninja Gaiden II: The Dark Sword of Chaos,Tecmo,1990-05-01
Ninja Gaiden III: The Ancient Ship of Doom,Tecmo,1991-08-01
Ninja Kid,Bandai,1986-10-01
Nintendo World Cup Soccer,Nintendo,1990-12-01
Nobunaga's Ambition,Koei,1989-06-01
Nobunaga's Ambition II,Koei,1991-04-01
North and South,Seika,1990-12-01
Operation Wolf,Taito Software,1989-05-01
Orb-3D,Hi-Tech,1990-10-01
Othello,Acclaim,1988-12-01
Overlord,Virgin Interactive,1993-01-01
P.O.W.: Prisoners of War,SNK,1989-09-01
Pac Man,Namco,1993-11-01
Palamedes,Hot-B,1990-11-01
Panic Restaurant,Taito Software,1992-10-01
Paperboy,Mindscape,1988-12-01
Paperboy 2,Mindscape,1992-04-01
Peter Pan & the Pirates,THQ,1991-01-01
Phantom Fighter,FCI,1990-04-01
Pictionary,LJN,1990-07-01
Pinball,Nintendo,1985-10-01
Pinball Quest,Jaleco,1990-06-01
Pinbot,Nintendo,1990-04-01
Pipe Dream,Bullet Proof Software,1990-09-01
Pirates!,Ultra Soft,1991-10-01
Platoon,Sunsoft,1988-12-01
Popeye,Nintendo,1986-06-01
Power Blade,Taito Software,1991-03-01
Power Blade 2,Taito Software,1992-10-01
Power Punch II,American Softworks,1992-06-01
Predator,Activision,1989-04-01
Prince of Persia,Virgin Interactive,1992-11-01
Princess Tomato in the Salad Kingdom,Hudson Soft,1991-02-01
Pro Sport Hockey,Jaleco,1993-11-01
Pro Wrestling,Nintendo,1987-03-01
Punch-Out!! Featuring Mr. Dream,Nintendo,1987-10-01
"Punisher, The",LJN,1990-11-01
Puss 'N Boots: Pero's Great Adventure,Electro Brain,1990-06-01
Puzznic,Taito Software,1990-11-01
Q*Bert,Ultra Soft,1989-02-01
Qix,Taito Software,1991-01-01
R.C. Pro-Am II,Tradewest,1992-12-01
R.C. Pro-Am Racing,Nintendo,1988-02-01
Race America,Absolute,1992-05-01
Racket Attack,Jaleco,1988-10-01
Rad Racer,Nintendo,1987-10-01
Rad Racer II,Square Soft,1990-06-01
Raid on Bungeling Bay,Broderbund,1987-09-01
Rainbow Islands,Taito Software,1991-06-01
Rally Bike,Romstar,1990-09-01
Rambo,Acclaim,1988-05-01
Rampage,Data East,1988-12-01
Rampart,Jaleco,1992-01-01
Remote Control,Hi-Tech,1990-05-01
"Ren & Stimpy Show: Buckaroo$, The",THQ,1993-11-01
Renegade,Taito Software,1988-01-01
Rescue: The Embassy Mission,Seika,1990-01-01
Ring King,Data East,1987-09-01
River City Ransom,American Technos,1990-01-01
RoadBlasters,Mindscape,1990-01-01
Robin Hood: Prince of Thieves,Virgin Interactive,1991-11-01
RoboCop,Data East,1989-12-01
RoboCop 2,Data East,1991-04-01
RoboCop 3,Ocean,1992-08-01
Robowarrior,Jaleco,1988-12-01
Rock 'n Ball,NTVIC,1990-01-01
Rocket Ranger,Seika,1990-06-01
"Rocketeer, The",Bandai,1991-05-01
Rockin' Kats,Atlus Software,1991-09-01
Roger Clemens' MVP Baseball,LJN,1991-10-01
Rollerball,Hal America,1990-02-01
Rollerblade Racer,Hi-Tech,1993-02-01
Rollergames,Ultra Soft,1990-09-01
Romance of the Three Kingdoms,Koei,1989-10-01
Romance of the Three Kingdoms II,Koei,1991-09-01
Roundball: 2 on 2 Challenge,Mindscape,1992-05-01
Rush 'n Attack,Konami,1987-04-01
Rygar,Tecmo,1987-07-01
S.C.A.T.: Special Cybernetic Attack Team,Natsume,1991-06-01
Section Z,Capcom,1987-07-01
Seicross,FCI,1988-10-01
Sesame Street: 123,Hi-Tech,1989-01-01
Sesame Street: ABC,Hi-Tech,1989-09-01
Sesame Street: ABC/123,Hi-Tech,1991-11-01
Sesame Street: Big Bird's Hide & Speak,Hi-Tech,1990-10-01
Sesame Street: Countdown,Hi-Tech,1992-02-01
Shadow of the Ninja,Natsume,1990-12-01
Shadowgate,Seika,1989-12-01
Shatterhand,Jaleco,1991-12-01
Shingen the Ruler,Hot-B,1990-06-01
Shooting Range,Bandai,1989-06-01
Short Order/Eggsplode,Nintendo,1989-12-01
Side Pocket,Data East,1987-06-01
Silent Service,Ultra Soft,1989-12-01
Silkworm,American Sammy,1990-06-01
Silver Surfer,Virgin Interactive,1990-11-01
"Simpsons: Bart vs. the Space Mutants, The",Acclaim,1991-02-01
"Simpsons: Bart vs. the World, The",Acclaim,1991-12-01
"Simpsons: Bartman Meets Radioactive Man, The",Acclaim,1992-12-01
Skate Or Die,Ultra Soft,1988-12-01
Skate Or Die 2,EA Sports,1990-09-01
Ski Or Die,Ultra Soft,1991-02-01
Sky Kid,Sunsoft,1987-09-01
Sky Shark,Taito Software,1989-09-01
Slalom,Nintendo,1987-08-01
Smash T.V.,Acclaim,1991-09-01
Snake Rattle 'n Roll,Nintendo,1990-07-01
Snake's Revenge: Metal Gear II,Ultra Soft,1990-04-01
Snoopy's Silly Sports Spectacular,Seika,1990-04-01
Snow Brothers,Capcom,1991-11-01
Soccer,Nintendo,1987-03-01
Solar Jetman: Hunt for the Golden Warship,Tradewest,1990-09-01
Solomon's Key,Tecmo,1987-07-01
Solstice,Sony Imagesoft,1990-06-01
Space Shuttle Project,Absolute,1991-11-01
Spelunker,Broderbund,1987-09-01
Spider-Man: Return of the Sinister Six,LJN,1992-10-01
Spot,Virgin Interactive,1990-09-01
Spy Hunter,Sunsoft,1987-09-01
Spy vs. Spy,Seika,1988-10-01
Sqoon,Irem,1987-09-01
Stack-Up,Nintendo,1985-10-01
Stadium Events,Bandai,1987-09-01
Stanley and the Search for Dr. Livingston,Electro Brain,1992-10-01
Star Force,Tecmo,1987-11-01
Star Soldier,Taxan,1989-01-01
Star Trek,Ultra Soft,1992-02-01
Star Trek: The Next Generation,Absolute,1993-09-01
Star Voyager,Acclaim,1987-09-01
Star Wars,JVC,1991-11-01
Starship Hector,Hudson Soft,1990-06-01
StarTropics,Nintendo,1990-12-01
Stealth ATF,Activision,1989-10-01
Stinger,Konami,1987-09-01
Street Cop,Bandai,1989-06-01
Street Fighter 2010: The Final Fight,Capcom,1990-09-01
Strider,Capcom,1989-07-01
Super C,Konami,1990-04-01
Super Cars,Electro Brain,1991-02-01
Super Dodge Ball,Sony Imagesoft,1989-06-01
Super Glove Ball,Mattel Inc.,1990-10-01
Super Jeopardy!,Gametek,1991-09-01
Super Mario Bros.,Nintendo,1985-10-01
Super Mario Bros. 2,Nintendo,1988-10-01
Super Mario Bros. 3,Nintendo,1990-02-01
Super Pitfall,Activision,1987-11-01
Super Spike V'Ball,Nintendo,1990-02-01
Super Spy Hunter,Sunsoft,1992-02-01
Super Team Games,Nintendo,1988-11-01
Superman,Seika,1988-12-01
Swamp Thing,THQ,1992-12-01
