Title,Licensee,Released
Disney's Pinocchio,Black Pearl Software,1996-10-01
Donkey Kong,Nintendo,1994-06-01
Donkey Kong Land,Nintendo,1995-06-01
Donkey Kong Land 2: Diddy's Kong Quest,Nintendo,1996-09-01
Donkey Kong Land 3,Nintendo,1997-10-01
Double Dragon,Tradewest,1990-08-01
Double Dragon II,Acclaim,1991-12-01
Double Dragon III: The Arcade Game,Acclaim,1992-08-01
Double Dribble: 5 on 5,Konami,1991-12-01
Dr. Franken,Kemco,1992-12-01
Dr. Franken II,Jaleco,1997-10-01
Dr. Mario,Nintendo,1990-12-01
Dragon Dance,Infogrames,2000-08-01
Dragon Warrior 1 & 2,Enix,2000-09-01
Dragon Warrior Monsters,Eidos,2000-01-01
Dragon Warrior Monster 2: Cobi's Journey,Enix,2001-09-01
Dragon Warriors Monsters 2: Tara's Adventure,Enix,2001-09-01
Dragonheart,Acclaim,1996-05-01
Dragon's Lair: The Legend,Sony Imagesoft,1991-01-01
DuckTales,THQ,1990-11-01
DuckTales 2,Nintendo,1993-11-01
Earthworm Jim,Playmates,1995-09-01
Earthworm Jim: Menace 2 The Galaxy,Crave Entertainment,1999-11-01
Elevator Action,Taito Software,1991-12-01
Elite Soccer,Gametek,1994-08-01
Elmo's 123's,Newkidco,1999-03-01
Elmo's ABC's,Newkidco,1999-03-01
"Empire Strikes Back , The",Capcom,1993-01-01
Evel Knievel,Take 2 Interactive,1999-12-01
Extra Bases,Bandai,1991-04-01
F1 Pole Position,UBI Soft,1993-12-01
F-1 Race,Nintendo,1991-02-01
F-15 Strike Eagle,Microprose,1993-06-01
Faceball 2000,Bullet Proof Software,1991-12-01
Fastest Lap,NTVIC,1992-02-01
Felix the Cat,Hudson Soft,1993-07-01
Ferrari Grand Prix Challenge,Acclaim,1992-09-01
FIFA International Soccer,Malibu Games,1995-02-01
FIFA Road to World Cup '98,THQ,1997-12-01
FIFA Soccer '96,Black Pearl Software,1995-12-01
FIFA Soccer '97,THQ,1996-11-01
Fighting Simulator 2-in-1,Culture Brain,1992-04-01
Final Fantasy Adventure,Square Soft,1991-11-01
Final Fantasy Legend,Square Soft,1990-09-01
Final Fantasy Legend II,Square Soft,1991-11-01
Final Fantasy Legend III,Square Soft,1993-08-01
Fish Dude,Sofel,1991-04-01
Fist of the North Star,Electro Brain,1990-04-01
"Flash, The",THQ,1992-03-01
"Flintstones: King Rock Treasure Island, The",Taito Software,1993-02-01
"Flintstones: The Movie, The",Ocean,1994-12-01
Flipull,Taito Software,1990-04-01
Foreman For Real,Acclaim,1995-09-01
Fortified Zone,Jaleco,1991-09-01
Frank Thomas' Big Hurt Baseball,Acclaim,1995-12-01
Frogger,Majesco,1998-08-01
Game & Watch Gallery,Nintendo,1997-05-01
Game & Watch Gallery 2,Nintendo,1998-11-01
Game & Watch Gallery 3,Nintendo,1999-12-01
"Game of Harmony, The",Accolade,1991-02-01
Gargoyle's Quest,Capcom,1990-07-01
Gauntlet II,Mindscape,1991-09-01
Gear Works,Sony Imagesoft,1993-10-01
George Foreman's KO Boxing,Acclaim,1992-09-01
"Getaway, The",Midway,1995-12-01
Gex 3: Deep Pocket Gecko,Eidos Interactive,1999-12-01
Gex: Enter the Gecko,Crave Entertainment,1998-12-01
Ghostbusters II,Activision,1990-12-01
Ghosts 'N Goblins,Capcom,2000-01-01
Go! Go! Tank,Electro Brain,1991-05-01
Goal!,Jaleco,1993-08-01
Godzilla,Crave Entertainment,1999-12-01
Godzilla,Toho,1990-10-01
Golf,Nintendo,1990-02-01
Gradius: The Interstellar Assault,Konami,1992-01-01
Grand Theft Auto,Take 2 Interactive,1999-11-01
Great Greed,Namco,1993-04-01
Gremlins 2: The New Batch,Sunsoft,1991-01-01
Hal Wrestling,Hal America,1990-12-01
Harvest Moon GB,Natsume,1998-08-01
Harvest Moon 2,Natsume,2000-11-01
Hatris,Bullet Proof Software,1991-05-01
Heavyweight Championship Boxing,Activision,1990-09-01
Heiankyo Alien,Meldac,1990-04-01
Hello Kitty's Cube Frenzy,Newkidco,1999-12-01
Hercules,THQ,1997-07-01
Hexcite,UBI Soft,1999-01-01
High Stakes Gambling,Electro Brain,1992-06-01
Hit the Ice,Taito Software,1992-10-01
Hole In One Golf,Natsume,1999-08-01
Home Alone,THQ,1991-11-01
Home Alone II: Lost in New York,THQ,1992-10-01
Hook,Sony Imagesoft,1992-04-01
Hot Wheels Stunt Track Driver,Mattel,2000-01-01
Hudson Hawk,Sony Imagesoft,1991-12-01
"Humans, The",Gametek,1992-12-01
"Hunchback of Notre Dame, The",THQ,1997-03-01
"Hunt for Red October, The",Hi-Tech,1991-05-01
Hyper Lode Runner,Bandai,1990-02-01
In Your Face,Jaleco,1990-12-01
"Incredible Crash Dummies, The",LJN,1992-11-01
Indiana Jones and the Last Crusade,UBI Soft,1994-07-01
Infogenius French Language Translator,Gametek,1991-09-01
Infogenius Personal Organizer,Gametek,1991-09-01
Infogenius Spanish Language Translator,Gametek,1991-09-01
Infogenius Spell Checker,Gametek,1991-09-01
Infogenius Travel Guide,Gametek,1991-09-01
International Rally,Konami,2000-09-01
International Superstar Soccer,Konami,1998-10-01
International Track and Field 2000,Konami,2000-01-01
Iron Man/X-O Manowar: in Heavy Metal,Acclaim,1996-08-01
Ishido: The Way of Stones,Ascii,1990-11-01
Itchy & Scratchy in Miniature Golf Madness,Acclaim,1994-11-01
Jack Nicklaus Golf,Tradewest,1992-05-01
James Bond 007,Nintendo,1998-02-01
Jeep Jamboree: Off Road Adventure,Virgin Interactive,1992-07-01
Jeff Gordon XS Racing,American Softworks,1999-11-01
Jeopardy!,Gametek,1991-03-01
Jeopardy! Platinum Edition,Gametek,1996-12-01
Jeopardy! Sports Edition,Gametek,1994-05-01
Jeopardy! Teen Tournament,Gametek,1996-12-01
"Jetsons: Robot Panic, The",Taito Software,1992-10-01
Jimmy Connors Tennis,UBI Soft,1998-05-01
Joe & Mac,Data East,1993-06-01
John Madden Football '95,THQ,1994-11-01
Jordan vs. Bird,EA Sports,1992-02-01
Judge Dredd,Acclaim,1995-06-01
"Jungle Book, The",THQ,1994-08-01
Jungle Strike,Malibu Games,1995-06-01
Jurassic Park,Ocean,1993-08-01
Jurassic Park 2,Ocean,1994-12-01
Ken Griffey Jr. Presents: Major League Baseball,Nintendo,1997-10-01
Kid Dracula,Konami,1993-03-01
Kid Icarus: Of Myths and Monsters,Nintendo,1991-11-01
Killer Instinct,Nintendo,1995-11-01
King of Fighters '95,Nintendo,1997-02-01
Kingdom Crusade,Electro Brain,1992-11-01
Kirby's Block Ball,Nintendo,1996-05-01
Kirby's Dream Land,Nintendo,1992-08-01
Kirby's Dream Land 2,Nintendo,1995-05-01
Kirby's Pinball Land,Nintendo,1993-11-01
Kirby's Star Stacker,Nintendo,1997-04-01
Klax,Mindscape,1991-07-01
Klustar,Infogrames,1999-07-01
Klustar,Infogrames,1999-07-01
Knight's Quest,Taito Software,1992-07-01
Krusty's Funhouse,Acclaim,1993-01-01
Kung Fu Master,Irem,1991-02-01
Kwirk,Acclaim,1990-03-01
Lamborghini American Challenge,Titus,1994-05-01
Las Vegas Cool Hand,Take 2 Interactive,1998-12-01
Last Action Hero,Sony Imagesoft,1993-10-01
Lazlo's Leap,DTMC,1992-10-01
Legend of the River King,Natsume,1998-08-01
Legend of the River King 2,Natsume,2001-05-01
"Legend of Zelda: Link's Awakening DX, The",Nintendo,1998-12-01
"Legend of Zelda: Link's Awakening, The",Nintendo,1993-08-01
Lemmings,Ocean,1994-08-01
Lethal Weapon,Ocean,1993-04-01
"Lion King, The",THQ,1995-04-01
"Little Mermaid, The",Nintendo,1993-02-01
Lock 'N Chase,Data East,1990-07-01
Logical,Sunsoft,1999-04-01
"Looney Toons: ""Carrot Crazy""",Infogrames,1999-01-01
"Looney Toons: ""Twouble""",Infogrames,1998-12-01
Looney Tunes,Sunsoft,1992-10-01
LoopZ,Mindscape,1991-03-01
Madden '96,Black Pearl Software,1995-10-01
Madden '97,THQ,1996-11-01
Madden NFL 2000,EA Sports,1999-11-01
Malibu Beach Volleyball,Activision,1990-03-01
Marble Madness,Mindscape,1991-05-01
Mario's Picross,Nintendo,1995-03-01
Mary Kate and Ashley: Get a Clue,Acclaim,2000-06-01
Mary Kate and Ashley Pocket Planner,Acclaim,2000-11-01
Maru's Mission,Jaleco,1991-03-01
Matchbox Caterpillar Construction,Mattel,2000-01-01
Maui Mallard in Dark Shadow,Sunsoft,1998-08-01
Mega Man II,Nintendo,1992-02-01
Mega Man III,Capcom,1992-12-01
Mega Man IV,Capcom,1993-12-01
Mega Man V,Capcom,1994-09-01
Mega Man: Dr. Wily's Revenge,Nintendo,1991-12-01
